canonical,jail_type,hierarchy,role,sanctioned,filled
Sattur,sub_jail,general,Grade II Warder,6,0
Singanallur,open_air_jail,general,Chief Head Warder,1,0
Singanallur,open_air_jail,general,Deputy Jailer,1,1
Singanallur,open_air_jail,general,Grade I Warder,3,3
Singanallur,open_air_jail,general,Grade II Warder,7,6
Sivagangai,sub_jail,general,Assistant Jailer,1,1
Sivagangai,sub_jail,general,Chief Head Warder,2,2
Sivagangai,sub_jail,general,Grade I Warder,2,2
Sivagangai,sub_jail,general,Grade II Warder,6,6
Srivaikundam,sub_jail,general,Assistant Jailer,1,1
Srivaikundam,sub_jail,general,Chief Head Warder,2,2
Srivaikundam,sub_jail,general,Grade I Warder,2,2
Srivaikundam,sub_jail,general,Grade II Warder,6,5
Srivilliputhur,sub_jail,general,Assistant Jailer,1,2
Srivilliputhur,sub_jail,general,Chief Head Warder,2,2
Srivilliputhur,sub_jail,general,Grade I Warder,2,2
Srivilliputhur,sub_jail,general,Grade II Warder,6,5
Tenkasi,sub_jail,general,Assistant Jailer,1,1
Tenkasi,sub_jail,general,Chief Head Warder,2,2
Tenkasi,sub_jail,general,Grade I Warder,2,2
Tenkasi,sub_jail,general,Grade II Warder,6,6
Thanjavur,sub_jail,general,Assistant Jailer,1,1
Thanjavur,sub_jail,general,Chief Head Warder,2,2
Thanjavur,sub_jail,general,Grade I Warder,2,2
Thanjavur,sub_jail,general,Grade II Warder,6,5
Thindivanam,sub_jail,general,Assistant Jailer,1,1
Thindivanam,sub_jail,general,Chief Head Warder,2,2
Thindivanam,sub_jail,general,Grade I Warder,2,2
Thindivanam,sub_jail,general,Grade II Warder,6,6
Thiruchengodu,sub_jail,general,Assistant Jailer,1,1
Thiruchengodu,sub_jail,general,Chief Head Warder,2,2
Thiruchengodu,sub_jail,general,Grade I Warder,2,2
Thiruchengodu,sub_jail,general,Grade II Warder,6,6
Thirukovilur,sub_jail,general,Assistant Jailer,1,1
Thirukovilur,sub_jail,general,Chief Head Warder,2,2
Thirukovilur,sub_jail,general,Grade I Warder,2,2
Thirukovilur,sub_jail,general,Grade II Warder,6,6
Thirumangalam,sub_jail,general,Assistant Jailer,1,1
Thirumangalam,sub_jail,general,Chief Head Warder,2,2
Thirumangalam,sub_jail,general,Grade I Warder,2,2
Thirumangalam,sub_jail,general,Grade II Warder,6,6
Thirumayam,sub_jail,general,Assistant Jailer,1,1
Thirumayam,sub_jail,general,Chief Head Warder,2,2
Thirumayam,sub_jail,general,Grade I Warder,2,2
