prison,type,parent,designation,sanctioned,filled,vacancy
Tharangambadi,sub_jail,,Chief Head Warder,2,2,0
Tharangambadi,sub_jail,,Grade I Warder,2,2,0
Tharangambadi,sub_jail,,Grade II Warder,6,5,1
Sirkali,sub_jail,,Assistant Jailer,1,1,0
Sirkali,sub_jail,,Chief Head Warder,2,2,0
Sirkali,sub_jail,,Grade I Warder,2,2,0
Sirkali,sub_jail,,Grade II Warder,6,5,1
Madurai,central_jail,,Jailer,3,2,1
Madurai,central_jail,,Deputy Jailer,4,3,1
Madurai,central_jail,,Assistant Jailer,15,14,1
Madurai,central_jail,,Chief Head Warder,33,32,1
Madurai,central_jail,,Grade I Warder,91,91,0
Madurai,central_jail,,Grade II Warder,118,117,1
Dindigul,district_jail,,Jailer,1,0,1
Dindigul,district_jail,,Deputy Jailer,1,1,0
Dindigul,district_jail,,Assistant Jailer,3,3,0
Dindigul,district_jail,,Chief Head Warder,5,5,0
Dindigul,district_jail,,Grade I Warder,4,4,0
Dindigul,district_jail,,Grade II Warder,17,16,1
Ramanathapuram,district_jail,,Jailer,1,1,0
Ramanathapuram,district_jail,,Deputy Jailer,1,1,0
Ramanathapuram,district_jail,,Assistant Jailer,3,2,1
Ramanathapuram,district_jail,,Chief Head Warder,5,5,0
Ramanathapuram,district_jail,,Grade I Warder,3,3,0
Ramanathapuram,district_jail,,Grade II Warder,17,16,1
Virudhunagar,district_jail,,Jailer,1,0,1
Virudhunagar,district_jail,,Deputy Jailer,1,0,1
Virudhunagar,district_jail,,Assistant Jailer,3,3,0
Virudhunagar,district_jail,,Chief Head Warder,5,5,0
Virudhunagar,district_jail,,Grade I Warder,3,3,0
Virudhunagar,district_jail,,Grade II Warder,16,15,1
Theni,district_jail,,Jailer,1,0,1
Theni,district_jail,,Deputy Jailer,1,1,0
Theni,district_jail,,Assistant Jailer,3,3,0
Theni,district_jail,,Chief Head Warder,5,5,0
Theni,district_jail,,Grade I Warder,3,3,0
Theni,district_jail,,Grade II Warder,17,16,1
Purasaraidaiudaippu,open_air_jail,,Deputy Jailer,1,1,0
Purasaraidaiudaippu,open_air_jail,,Chief Head Warder,1,1,0
Purasaraidaiudaippu,open_air_jail,,Grade I Warder,3,3,0
Purasaraidaiudaippu,open_air_jail,,Grade II Warder,8,8,0
Aruppukottai,sub_jail,,Assistant Jailer,1,0,1
Aruppukottai,sub_jail,,Chief Head Warder,2,2,0
Aruppukottai,sub_jail,,Grade I Warder,2,2,0
Aruppukottai,sub_jail,,Grade II Warder,6,6,0
Mudukulathur,sub_jail,,Assistant Jailer,2,2,0
Mudukulathur,sub_jail,,Chief Head Warder,4,4,0
Mudukulathur,sub_jail,,Grade I Warder,4,3,1
Mudukulathur,sub_jail,,Grade II Warder,12,12,0
Periakulam,sub_jail,,Assistant Jailer,1,1,0
Periakulam,sub_jail,,Chief Head Warder,2,2,0
Periakulam,sub_jail,,Grade I Warder,2,2,0
Periakulam,sub_jail,,Grade II Warder,6,6,0
Sivagangai,sub_jail,,Assistant Jailer,1,1,0
Sivagangai,sub_jail,,Chief Head Warder,2,2,0
Sivagangai,sub_jail,,Grade I Warder,2,2,0
Sivagangai,sub_jail,,Grade II Warder,6,6,0
Srivilliputhur,sub_jail,,Assistant Jailer,1,1,0
Srivilliputhur,sub_jail,,Chief Head Warder,2,2,0
Srivilliputhur,sub_jail,,Grade I Warder,2,2,0
Srivilliputhur,sub_jail,,Grade II Warder,6,5,1
Thirumangalam,sub_jail,,Assistant Jailer,1,1,0
Thirumangalam,sub_jail,,Chief Head Warder,2,2,0
Thirumangalam,sub_jail,,Grade I Warder,2,2,0
Thirumangalam,sub_jail,,Grade II Warder,6,5,1
Tiruppathur,sub_jail,,Assistant Jailer,1,1,0
Tiruppathur,sub_jail,,Chief Head Warder,2,2,0
Tiruppathur,sub_jail,,Grade I Warder,2,2,0
Tiruppathur,sub_jail,,Grade II Warder,6,5,1
Usilampatti,sub_jail,,Assistant Jailer,1,1,0
Usilampatti,sub_jail,,Chief Head Warder,2,2,0
Usilampatti,sub_jail,,Grade I Warder,2,2,0
Usilampatti,sub_jail,,Grade II Warder,6,5,1
Uthamapalayam,sub_jail,,Assistant Jailer,1,1,0
Uthamapalayam,sub_jail,,Chief Head Warder,2,2,0
Uthamapalayam,sub_jail,,Grade I Warder,2,2,0
Uthamapalayam,sub_jail,,Grade II Warder,6,6,0
Vedasandur,sub_jail,,Assistant Jailer,1,1,0
Vedasandur,sub_jail,,Chief Head Warder,2,2,0
Vedasandur,sub_jail,,Grade I Warder,2,2,0
Vedasandur,sub_jail,,Grade II Warder,6,6,0
Palayamkottai,central_jail,,Jailer,2,1,1
Palayamkottai,central_jail,,Deputy Jailer,3,3,0
Palayamkottai,central_jail,,Assistant Jailer,13,13,0
Palayamkottai,central_jail,,Chief Head Warder,29,29,0
Palayamkottai,central_jail,,Grade I Warder,81,81,0
Palayamkottai,central_jail,,Grade II Warder,149,148,1
Thoothukudi @ Perurani,district_jail,,Jailer,1,0,1
Thoothukudi @ Perurani,district_jail,,Deputy Jailer,1,1,0
Thoothukudi @ Perurani,district_jail,,Assistant Jailer,4,3,1
Thoothukudi @ Perurani,district_jail,,Chief Head Warder,7,7,0
Thoothukudi @ Perurani,district_jail,,Grade I Warder,4,4,0
Thoothukudi @ Perurani,district_jail,,Grade II Warder,14,14,0
Kanniyakumari @ Nagercoil,district_jail,,Jailer,1,0,1
Kanniyakumari @ Nagercoil,district_jail,,Deputy Jailer,1,1,0
Kanniyakumari @ Nagercoil,district_jail,,Assistant Jailer,3,3,0
Kanniyakumari @ Nagercoil,district_jail,,Chief Head Warder,5,5,0
Kanniyakumari @ Nagercoil,district_jail,,Grade I Warder,4,4,0
Kanniyakumari @ Nagercoil,district_jail,,Grade II Warder,12,12,0
Nanguneri (Men),special_sub_jail,,Deputy Jailer,1,1,0
Nanguneri (Men),special_sub_jail,,Chief Head Warder,2,2,0
Nanguneri (Men),special_sub_jail,,Grade I Warder,3,3,0
Nanguneri (Men),special_sub_jail,,Grade II Warder,11,11,11
Ambasamuthiram,sub_jail,,Assistant Jailer,1,1,0
Ambasamuthiram,sub_jail,,Chief Head Warder,2,2,0
Ambasamuthiram,sub_jail,,Grade I Warder,2,2,0
Ambasamuthiram,sub_jail,,Grade II Warder,6,6,0
Tenkasi,sub_jail,,Assistant Jailer,1,1,0
Tenkasi,sub_jail,,Chief Head Warder,2,2,0
Tenkasi,sub_jail,,Grade I Warder,2,2,0
Tenkasi,sub_jail,,Grade II Warder,6,6,0
Sankarankoil,sub_jail,,Assistant Jailer,1,1,0
Sankarankoil,sub_jail,,Chief Head Warder,2,2,0
Sankarankoil,sub_jail,,Grade I Warder,2,2,0
Sankarankoil,sub_jail,,Grade II Warder,6,6,0
Srivaikundam,sub_jail,,Assistant Jailer,1,0,1
Srivaikundam,sub_jail,,Chief Head Warder,2,2,0
Srivaikundam,sub_jail,,Grade I Warder,2,2,0
Srivaikundam,sub_jail,,Grade II Warder,6,6,0
Kuzhithurai,sub_jail,,Assistant Jailer,1,0,1
Kuzhithurai,sub_jail,,Chief Head Warder,2,2,0
Kuzhithurai,sub_jail,,Grade I Warder,2,1,1
Kuzhithurai,sub_jail,,Grade II Warder,6,6,0
Kovilpatti,sub_jail,,Assistant Jailer,1,1,0
Kovilpatti,sub_jail,,Chief Head Warder,2,2,0
Kovilpatti,sub_jail,,Grade I Warder,2,2,0
Kovilpatti,sub_jail,,Grade II Warder,6,5,1
Chennai,spw,,Jailer,1,1,0
Chennai,spw,,Deputy Jailer,1,1,0
Chennai,spw,,Assistant Jailer,3,3,0
Chennai,spw,,Chief Head Warder,6,6,0
Chennai,spw,,Grade I Warder,11,10,1
Chennai,spw,,Grade II Warder,36,36,0
SICA Tiruchirappalli,sub_jail,,Jailer,1,0,1
SICA Tiruchirappalli,sub_jail,,Assistant Jailer,2,2,0
SICA Tiruchirappalli,sub_jail,,Chief Head Warder,4,3,1
Salem (Women),special_sub_jail,,Deputy Jailer,1,1,0
Salem (Women),special_sub_jail,,Assistant Jailer,1,1,0
Salem (Women),special_sub_jail,,Chief Head Warder,3,3,0
Salem (Women),special_sub_jail,,Grade I Warder,7,7,0
Salem (Women),special_sub_jail,,Grade II Warder,23,19,4
"Female Annex, Tiruppur",sub_jail,,Assistant Jailer,1,1,0
"Female Annex, Tiruppur",sub_jail,,Chief Head Warder,2,2,0
"Female Annex, Tiruppur",sub_jail,,Grade I Warder,2,2,0
"Female Annex, Tiruppur",sub_jail,,Grade II Warder,4,4,0
Thiruvarur,women_sub_jail,,Assistant Jailer,1,1,0
Thiruvarur,women_sub_jail,,Chief Head Warder,2,2,0
Thiruvarur,women_sub_jail,,Grade I Warder,2,2,0
Thiruvarur,women_sub_jail,,Grade II Warder,6,2,4
Nilakottai,women_sub_jail,,Assistant Jailer,1,1,0
Nilakottai,women_sub_jail,,Chief Head Warder,2,2,0
Nilakottai,women_sub_jail,,Grade I Warder,2,2,0
Nilakottai,women_sub_jail,,Grade II Warder,6,6,0
Paramakudi,women_sub_jail,,Assistant Jailer,1,1,0
Paramakudi,women_sub_jail,,Chief Head Warder,2,2,0
Paramakudi,women_sub_jail,,Grade I Warder,2,2,0
Paramakudi,women_sub_jail,,Grade II Warder,6,5,1
Kokkirakulam (Women),special_sub_jail,,Deputy Jailer,1,1,0
Kokkirakulam (Women),special_sub_jail,,Assistant Jailer,1,1,0
Kokkirakulam (Women),special_sub_jail,,Chief Head Warder,1,1,0
Kokkirakulam (Women),special_sub_jail,,Grade I Warder,4,4,0
Kokkirakulam (Women),special_sub_jail,,Grade II Warder,9,9,0
Thuckalay,women_sub_jail,,Assistant Jailer,1,1,0
Thuckalay,women_sub_jail,,Chief Head Warder,2,2,0
Thuckalay,women_sub_jail,,Grade I Warder,2,2,0
Thuckalay,women_sub_jail,,Grade II Warder,6,4,2
Tiruppur (Annex),women_sub_jail,,Assistant Jailer,1,1,0
Tiruppur (Annex),women_sub_jail,,Chief Head Warder,2,2,0
Tiruppur (Annex),women_sub_jail,,Grade I Warder,1,1,0
Tiruppur (Annex),women_sub_jail,,Grade II Warder,4,4,0
